cut,n,k,p,M,T,gain,zipf_s,seed,depth,level,acc,acc_head,acc_tail,distinct_frac,pres_head,pres_tail
zipf_scaled,4000,50,0.05,64,2,1.2200,0.00,42,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf_scaled,4000,50,0.05,64,2,1.2200,0.00,43,1,1,0.968750,1.000000,0.904762,1.000000,1,1
zipf_scaled,4000,50,0.05,64,2,1.2200,0.00,44,1,1,0.953125,0.952381,0.952381,1.000000,1,1
zipf_scaled,4000,50,0.05,64,2,1.4000,0.00,42,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf_scaled,4000,50,0.05,64,2,1.4000,0.00,43,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf_scaled,4000,50,0.05,64,2,1.4000,0.00,44,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf_scaled,4000,50,0.05,64,2,1.7800,0.00,42,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf_scaled,4000,50,0.05,64,2,1.7800,0.00,43,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf_scaled,4000,50,0.05,64,2,1.7800,0.00,44,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf_scaled,4000,50,0.05,64,2,1.2200,0.60,42,1,1,0.953125,0.952381,0.952381,1.000000,6,1
zipf_scaled,4000,50,0.05,64,2,1.2200,0.60,43,1,1,0.921875,0.952381,0.857143,1.000000,6,1
zipf_scaled,4000,50,0.05,64,2,1.2200,0.60,44,1,1,0.937500,0.952381,0.952381,1.000000,6,1
zipf_scaled,4000,50,0.05,64,2,1.4000,0.60,42,1,1,0.656250,0.714286,0.714286,1.000000,6,1
zipf_scaled,4000,50,0.05,64,2,1.4000,0.60,43,1,1,0.578125,0.619048,0.523810,1.000000,6,1
zipf_scaled,4000,50,0.05,64,2,1.4000,0.60,44,1,1,0.421875,0.571429,0.333333,1.000000,6,1
zipf_scaled,4000,50,0.05,64,2,1.7800,0.60,42,1,1,0.468750,0.428571,0.428571,0.828125,6,1
zipf_scaled,4000,50,0.05,64,2,1.7800,0.60,43,1,1,0.265625,0.238095,0.238095,0.687500,6,1
zipf_scaled,4000,50,0.05,64,2,1.7800,0.60,44,1,1,0.359375,0.476190,0.333333,0.921875,6,1
zipf_scaled,4000,50,0.05,64,2,1.2200,1.00,42,1,1,0.437500,0.428571,0.333333,0.953125,13,1
zipf_scaled,4000,50,0.05,64,2,1.2200,1.00,43,1,1,0.375000,0.285714,0.333333,0.859375,13,1
zipf_scaled,4000,50,0.05,64,2,1.2200,1.00,44,1,1,0.359375,0.428571,0.285714,0.953125,13,1
zipf_scaled,4000,50,0.05,64,2,1.4000,1.00,42,1,1,0.546875,0.571429,0.523810,0.828125,13,1
zipf_scaled,4000,50,0.05,64,2,1.4000,1.00,43,1,1,0.203125,0.190476,0.190476,0.656250,13,1
zipf_scaled,4000,50,0.05,64,2,1.4000,1.00,44,1,1,0.406250,0.428571,0.380952,0.875000,13,1
zipf_scaled,4000,50,0.05,64,2,1.7800,1.00,42,1,1,0.343750,0.428571,0.285714,0.921875,13,1
zipf_scaled,4000,50,0.05,64,2,1.7800,1.00,43,1,1,0.218750,0.190476,0.238095,0.671875,13,1
zipf_scaled,4000,50,0.05,64,2,1.7800,1.00,44,1,1,0.187500,0.238095,0.142857,0.953125,13,1
